Iteration,     Velocity residue      Pressure residue
     85        0.0457992             446392425.7072952
     86        0.0454888             403878861.4494576
     87        0.0451856             340108515.0627011
     88        0.0448893             573933116.4808081
     89        0.0445998             765244155.6410774
     90        0.0443167             488905987.9651328
     91        0.0440398             701473809.2543211
     92        0.0437690             233824604.4181070
     93        0.0435041             255081386.5470258
     94        0.0432449             1424204403.6375608
     95        0.0429911             1551745096.4110737
     96        0.0427427             467649207.8362140
     97        0.0424994             892784848.4145904
     98        0.0422611             1955623954.8605313
     99        0.0420276             467649207.8362140
    100        0.0417987             1041582325.3170220
    101        0.0415743             658960244.9964833
    102        0.0413544             1126609451.8326974
    103        0.0411388             1296663710.8640480
    104        0.0409274             765244157.6410774
    105        0.0407200             127540693.7735129
    106        0.0405165             1041582323.3170220
    107        0.0403168             1126609453.8326974
    108        0.0401207             1084095887.5748599
    109        0.0399284             914041630.5435091
    110        0.0397394             1509231532.1532362
    111        0.0395539             255081386.5470258
    112        0.0393717             148797473.9024318
    113        0.0391928             191311040.1602693
    114        0.0390171             488905987.9651328
    115        0.0388444             467649205.8362140
    116        0.0386747             2444529943.8256640
    117        0.0385079             722730591.3832399
    118        0.0383439             382622077.3205387
    119        0.0381827             1105352671.7037785
    120        0.0380241             658960246.9964833
    121        0.0378681             488905987.9651328
    122        0.0377146             318851732.9337823
    123        0.0375637             1934367174.7316124
    124        0.0374151             1509231532.1532362
    125        0.0372689             3422341921.7559304
    126        0.0371249             1062839107.4459409
    127        0.0369831             552676336.3518893
    128        0.0368435             1254150146.6062102
    129        0.0367062             191311038.1602693
    130        0.0365708             2550813854.4702582
    131        0.0364373             722730593.3832399
    132        0.0363058             2731496502.5660682
    133        0.0361762             1966252345.9249909
    134        0.0360485             1573001878.5399926
    135        0.0359226             116912300.7090535
    136        0.0357985             148797475.9024318
    137        0.0356762             1976880738.9894502
    138        0.0355555             1498603139.0887766
    139        0.0354365             1009697152.1236439
    140        0.0353192             1062839107.4459409
    141        0.0352035             488905989.9651328
    142        0.0350894             1891853610.4737749
    143        0.0349770             425135643.5783764
    144        0.0348661             1573001876.5399926
    145        0.0347568             1190379800.2194541
    146        0.0346488             1923738781.6671531
    147        0.0345424             425135643.5783764
    148        0.0344375             1275406926.7351291
    149        0.0343340             42513565.2578376
    150        0.0342320             1030953934.2525628
    151        0.0341314             3082233409.6932287
    152        0.0340320             1551745096.4110737
    153        0.0339340             2688982938.3082304
    154        0.0338374             3114118580.8866067
    155        0.0337420             1955623956.8605313
    156        0.0336479             3124746971.9510665
    157        0.0335551             170054256.0313506
    158        0.0334635             2455158336.8901234
    159        0.0333731             2614584202.8570147
    160        0.0332838             1115981060.7682381
    161        0.0331956             2327617642.1166110
    162        0.0331086             2125678213.8918817
    163        0.0330227             967183585.8658062
    164        0.0329379             743987375.5121586
    165        0.0328541             1732427742.5068836
    166        0.0327713             2231962124.5364761
    167        0.0326894             74398736.4512159
    168        0.0326085             1498603141.0887766
    169        0.0325286             967183587.8658062
    170        0.0324497             1636772224.9267490
    171        0.0323717             977811976.9302657
    172        0.0322946             2423273163.6967449
    173        0.0322185             244452995.4825664
    174        0.0321433             754615764.5766181
    175        0.0320690             1785569697.8291807
    176        0.0319955             1052210714.3814814
    177        0.0319229             2603955809.7925553
    178        0.0318513             1743056135.5713434
    179        0.0317806             4846546324.3934898
    180        0.0317107             1158494627.0260756
    181        0.0316418             467649205.8362140
    182        0.0315738             829014502.0278339
    183        0.0315067             3411713532.6914706
    184        0.0314405             829014502.0278339
    185        0.0313752             1976880738.9894502
    186        0.0313108             1498603141.0887766
    187        0.0312473             1360434057.2508044
    188        0.0311849             1636772222.9267490
    189        0.0311234             1487974748.0243173
    190        0.0310630             3911247912.7210627
    191        0.0310036             1594258660.6689115
    192        0.0309452             3517997441.3360639
    193        0.0308880             935298414.6724280
    194        0.0308321             542047943.2874299
    195        0.0307774             1041582323.3170220
    196        0.0307239             3007834670.2420125
    197        0.0306718             1232893364.4772913
    198        0.0306211             180682647.0958100
    199        0.0305717             499534381.0295923
    200        0.0305238             3316058011.1113358
    201        0.0304774             3496740659.2071457
    202        0.0304326             2922807541.7263374
    203        0.0303894             488905989.9651328
    204        0.0303480             3294801230.9824166
    205        0.0303082             999068759.0591846
    206        0.0302702             329480121.9982417
    207        0.0302339             3432970314.8203893
    208        0.0301993             4315126771.1705198
    209        0.0301664             6908454190.8986168
    210        0.0301353             3305429620.0468764
    211        0.0301058             1349805664.1863451
    212        0.0300779             2593327418.7280960
    213        0.0300517             2487043508.0835018
    214        0.0300271             2657097765.1148524
    215        0.0300040             2030022694.3117468
    216        0.0299823             903413241.4790498
    217        0.0299621             2901550761.5974188
    218        0.0299432             1636772222.9267490
    219        0.0299256             2986577890.1130939
    220        0.0299091             2508300290.2124205
    221        0.0298937             4570208156.7175465
    222        0.0298793             1998137519.1183691
    223        0.0298658             5951898997.0972691
    224        0.0298532             1711170960.3779652
    225        0.0298414             1817454873.0225589
    226        0.0298303             1179751407.1549945
    227        0.0298198             3964389866.0433602
    228        0.0298100             1.0000000
    229        0.0298007             2593327418.7280960
    230        0.0297919             4091930558.8168726
    231        0.0297835             4952830235.0380840
    232        0.0297755             999068759.0591846
    233        0.0297677             4389525508.6217356
    234        0.0297602             5420479443.8742990
    235        0.0297528             478277596.9006734
    236        0.0297457             1849340046.2159371
    237        0.0297387             1753684524.6358025
    238        0.0297319             977811978.9302657
    239        0.0297252             4857174715.4579496
    240        0.0297187             8640881934.4055004
    241        0.0297122             6079439689.8707819
    242        0.0297058             5335452315.3586235
    243        0.0296994             637703464.8675646
    244        0.0296931             1519859923.2176955
    245        0.0296868             2423273163.6967449
    246        0.0296806             1084095887.5748599
    247        0.0296743             5611790481.0345688
    248        0.0296680             2880293979.4685001
    249        0.0296618             1679285789.1845868
    250        0.0296555             446392425.7072952
    251        0.0296493             542047943.2874299
    252        0.0296431             8853449757.6946888
    253        0.0296368             1689914178.2490461
    254        0.0296306             3868734346.4632249
    255        0.0296243             7301704660.2836151
    256        0.0296179             627075073.8031051
    257        0.0296115             1084095887.5748599
    258        0.0296051             4580836547.7820053
    259        0.0295986             2667726158.1793118
    260        0.0295921             1.0000000
    261        0.0295855             223196211.3536476
    262        0.0295789             1541116705.3466144
    263        0.0295721             573933116.4808081
    264        0.0295653             4219471251.5903854
    265        0.0295583             2710239720.4371495
    266        0.0295513             1169123018.0905352
    267        0.0295441             2752753286.6949873
    268        0.0295368             3050348236.4998503
    269        0.0295293             244452993.4825664
    270        0.0295217             2657097767.1148524
    271        0.0295139             4315126771.1705198
    272        0.0295059             4570208156.7175465
    273        0.0294977             2221333731.4720168
    274        0.0294893             2327617644.1166110
    275        0.0294807             4081302167.7524133
    276        0.0294718             5930642212.9683504
    277        0.0294626             1976880738.9894502
    278        0.0294531             4432039072.8795738
    279        0.0294433             3422341921.7559304
    280        0.0294331             882156459.3501309
    281        0.0294227             7407988570.9282084
    282        0.0294119             5218540011.6495695
    283        0.0294007             3082233407.6932287
    284        0.0293891             6600230852.0292931
    285        0.0293772             1966252347.9249909
    286        0.0293648             170054256.0313506
    287        0.0293520             8821564582.5013103
    288        0.0293387             2986577888.1130939
    289        0.0293250             42513563.2578376
    290        0.0293108             4123815734.0102510
    291        0.0292961             5409851050.8098392
    292        0.0292810             8577111590.0187435
    293        0.0292653             4028160214.4301157
    294        0.0292492             6249493944.9021330
    295        0.0292325             1838711653.1514778
    296        0.0292154             1849340046.2159371
    297        0.0291977             605818289.6741862
    298        0.0291795             8364543766.7295551
    299        0.0291607             871528066.2856717
    300        0.0291415             4899688281.7157879
    301        0.0291217             2784638457.8883653
    302        0.0291014             3826220782.2053876
    303        0.0290805             2380759597.4389081
    304        0.0290592             2263847295.7298541
    305        0.0290373             10628390.0644594
    306        0.0290150             42513563.2578376
    307        0.0289921             5659618242.8246355
    308        0.0289687             9873775297.8827915
    309        0.0289448             3852791761.8665361
    310        0.0289204             4564893961.1853161
    311        0.0288956             2242590513.6009355
    312        0.0288702             6525832112.5780773
    313        0.0288444             2657097767.1148524
    314        0.0288181             6329206879.8855782
    315        0.0287914             9220129249.4185371
    316        0.0287641             1865282630.8126261
    317        0.0287364             4570208156.7175465
    318        0.0287083             9958802428.3984661
    319        0.0286797             2125678211.8918817
    320        0.0286506             3321372208.6435657
    321        0.0286211             1333863077.5896559
    322        0.0285912             1684599984.7168164
    323        0.0285608             7615242196.6851654
    324        0.0285300             4947516039.5058556
    325        0.0284987             914041632.5435091
    326        0.0284671             1711170960.3779652
    327        0.0284350             7960664908.2800970
    328        0.0284025             3231030884.5956607
    329        0.0283697             366679492.7238497
    330        0.0283364             366679492.7238497
    331        0.0283027             7721526109.3297606
    332        0.0282686             1705856764.8457353
    333        0.0282342             1344491470.6541152
    334        0.0281994             775872548.7055368
    335        0.0281642             12073852250.2258892
    336        0.0281286             658960246.9964833
    337        0.0280927             3151317949.6122146
    338        0.0280565             5409851050.8098392
    339        0.0280198             5436422028.4709873
    340        0.0279829             2598641616.2603254
    341        0.0279456             4277927402.4449120
    342        0.0279080             127540691.7735129
    343        0.0278701             13577769583.8468933
    344        0.0278319             11792199887.0177135
    345        0.0277934             2253218904.6653948
    346        0.0277546             781186742.2377666
    347        0.0277156             701473809.2543211
    348        0.0276762             5330138117.8263941
    349        0.0276367             16516519715.1699238
    350        0.0275968             10484907786.0892067
    351        0.0275567             11239523551.6658249
    352        0.0275164             2130992407.4241116
    353        0.0274759             2598641614.2603254
    354        0.0274351             2795266850.9528246
    355        0.0273942             2200076951.3430977
    356        0.0273531             7429245355.0571270
    357        0.0273117             4070673778.6879535
    358        0.0272702             813071917.4311448
    359        0.0272286             7336246933.2431078
    360        0.0271867             5231825500.4801445
    361        0.0271448             1729770646.7407691
    362        0.0271027             5540048843.3494673
    363        0.0270604             2253218904.6653948
    364        0.0270180             4540980083.2902822
    365        0.0269756             1612858343.0317154
    366        0.0269330             2582699029.6636362
    367        0.0268903             9711692334.1497860
    368        0.0268476             14526353488.3498974
    369        0.0268048             249767189.0147961
    370        0.0267619             12504302086.3364944
    371        0.0267190             5141484176.4322395
    372        0.0266760             9225443442.9507675
    373        0.0266330             5813729911.2592974
    374        0.0265899             1142552038.4293866
    375        0.0265469             3249630566.9584641
    376        0.0265038             58456149.8545268
    377        0.0264608             5399222661.7453804
    378        0.0264177             9950831133.1001225
    379        0.0263746             3161946340.6766744
    380        0.0263316             4692434653.9588289
    381        0.0262887             3038391294.5523334
    382        0.0262457             7273805133.7394075
    383        0.0262028             4091930560.8168726
    384        0.0261600             3532611481.0496960
    385        0.0261172             8959733666.3392811
    386        0.0260745             2933435934.7907972
    387        0.0260319             2458479709.0977674
    388        0.0259894             669588636.0609428
    389        0.0259469             3337979067.6817832
    390        0.0259046             5330802392.2679224
    391        0.0258624             1454761027.9478815
    392        0.0258203             4877102950.7038116
    393        0.0257784             476949050.0176160
    394        0.0257365             3120761325.3018937
    395        0.0256948             6823427062.3829412
    396        0.0256533             6103353567.7658157
    397        0.0256119             4349669042.1300135
    398        0.0255707             964526488.0996915
    399        0.0255297             3079576309.9271140
    400        0.0254888             6414234008.4012537
    401        0.0254481             2484386412.3173866
    402        0.0254076             4236742387.0701318
    403        0.0253673             7071865705.5146790
    404        0.0253272             4131787025.3085952
    405        0.0252873             8392443293.2737598
    406        0.0252476             621760876.2708755
    407        0.0252082             8027092350.4329691
    408        0.0251689             7110393623.1233444
    409        0.0251299             1341834372.8880005
    410        0.0250911             6286693315.6277409
    411        0.0250525             1214293680.1144874
    412        0.0250142             2763381677.7594466
    413        0.0249761             6087410981.1691265
    414        0.0249383             6935025170.5597639
    415        0.0249007             3058319529.7981949
    416        0.0248634             515476965.6262814
    417        0.0248264             1060182007.6798260
    418        0.0247896             929984217.1401983
    419        0.0247530             1729770646.7407691
    420        0.0247168             18759110229.7708588
    421        0.0246808             3592396178.7872801
    422        0.0246450             7110393621.1233444
    423        0.0246096             31885174.1933782
    424        0.0245744             334794319.5304714
    425        0.0245395             13476799868.7345314
    426        0.0245048             5308881337.6974754
    427        0.0244705             4987372505.9975786
    428        0.0244364             3610995863.1500840
    429        0.0244025             9693092649.7869797
    430        0.0243690             2404673479.3339415
    431        0.0243357             3191174416.1039381
    432        0.0243027             7761382575.8214836
    433        0.0242700             7942065221.9172935
    434        0.0242375             1381690837.3797233
    435        0.0242053             441078228.1750655
    436        0.0241734             1859968435.2803967
    437        0.0241417             6281379118.0955105
    438        0.0241103             8375172159.7940149
    439        0.0240791             10139485076.4942760
    440        0.0240482             1615515440.7978303
    441        0.0240176             5425793639.4065275
    442        0.0239871             5362023291.0197725
    443        0.0239569             8003178472.5379362
    444        0.0239269             5090999320.8760567
    445        0.0238972             1179751409.1549945
    446        0.0238676             20108915894.9571991
    447        0.0238382             3491426465.6749158
    448        0.0238090             2402016381.5678267
    449        0.0237800             79712933.9834456
    450        0.0237512             2205391146.8753276
    451        0.0237224             1094724280.6393192
    452        0.0236938             3231030884.5956607
    453        0.0236653             1498603141.0887766
    454        0.0236369             1365748252.7830341
    455        0.0236085             10516792957.2825871
    456        0.0235801             5489563983.7932844
    457        0.0235517             3023777258.8387017
    458        0.0235233             4075987974.2201834
    459        0.0234949             6637430220.7549009
    460        0.0234663             6010355145.9517956
    461        0.0234375             185996842.6280397
    462        0.0234086             8736537455.9856358
    463        0.0233794             11994139317.2424431
    464        0.0233500             324165926.4660120
    465        0.0233201             7694955131.6686125
    466        0.0232899             5213225816.1173410
    467        0.0232592             5441736226.0032177
    468        0.0232280             2386073794.9711380
    469        0.0231962             10224512203.0099525
    470        0.0231636             8375172159.7940149
    471        0.0231304             12190764549.9349442
    472        0.0230962             17659071754.5993080
    473        0.0230612             2763381677.7594466
    474        0.0230251             4341697748.8316679
    475        0.0229880             2301046664.4554620
    476        0.0229496             4607407525.4431543
    477        0.0229099             271023971.1437150
    478        0.0228689             387936272.8527684
    479        0.0228264             5840300890.9204454
    480        0.0227823             4910316672.7802467
    481        0.0227365             4665863676.2976818
    482        0.0226889             5946584801.5650396
    483        0.0226395             8380486353.3262453
    484        0.0225881             7237934313.8968573
    485        0.0225347             8683395498.6633358
    486        0.0224792             3034405649.9031610
    487        0.0224215             16994797313.0705967
    488        0.0223616             3199145711.4022822
    489        0.0222994             2975949499.0486345
    490        0.0222348             818386112.9633745
    491        0.0221680             6228237164.7732134
    492        0.0220988             6478004352.7880096
    493        0.0220273             898099045.9468200
    494        0.0219534             2423273163.6967449
    495        0.0218774             292280755.2726338
    496        0.0217991             4070673776.6879535
    497        0.0217188             260395580.0792555
    498        0.0216364             8922534299.6136742
    499        0.0215522             6361092053.0789566
    500        0.0214663             6206980382.6442947
    501        0.0213789             13237661071.7841949
    502        0.0212902             1115981060.7682381
    503        0.0212004             8359229573.1973257
    504        0.0211097             8348601182.1328659
    505        0.0210184             1886539412.9415450
    506        0.0209268             10729360778.5717754
    507        0.0208351             6855312235.5763187
    508        0.0207436             5617104676.5667973
    509        0.0206525             5914699628.3716612
    510        0.0205623             7020052297.0754395
    511        0.0204732             7301704662.2836151
    512        0.0203854             10888786644.5386658
    513        0.0202993             11877227015.5333900
    514        0.0202150             3252287664.7245793
    515        0.0201328             9321098962.5309010
    516        0.0200529             1349805664.1863451
    517        0.0199755             2253218904.6653948
    518        0.0199008             1934367172.7316124
    519        0.0198289             8757794238.1145535
    520        0.0197598             17101081223.7151890
    521        0.0196939             14321756958.3590546
    522        0.0196309             10702789800.9106274
    523        0.0195711             4623350114.0398436
    524        0.0195144             6924396779.4953060
    525        0.0194609             8082891403.5213814
    526        0.0194105             2497671901.1479611
    527        0.0193631             20406510842.7620659
    528        0.0193189             12637156974.6422386
    529        0.0192777             15538707735.2396564
    530        0.0192394             2795266850.9528246
    531        0.0192042             6026297734.5484848
    532        0.0191718             2152249189.5530305
    533        0.0191423             4022846018.8978868
    534        0.0191156             6531146310.1103067
    535        0.0190917             7827810019.9743538
    536        0.0190705             19694408643.4432869
    537        0.0190521             11058840901.5700150
    538        0.0190364             5335452315.3586235
    539        0.0190232             1.0000000
    540        0.0190127             6733085738.3350363
    541        0.0190047             12201392940.9994011
    542        0.0189992             9257328618.1441460
    543        0.0189962             8608996763.2121220
    544        0.0189955             8157290140.9725971
    545        0.0189970             10644333652.0560989
    546        0.0190008             4378897119.5572767
    547        0.0190066             11691230169.9053497
    548        0.0190144             10511478763.7503567
    549        0.0190240             2269161493.2620840
    550        0.0190354             11228895160.6013660
    551        0.0190484             3810278197.6086984
    552        0.0190629             4384211313.0895061
    553        0.0190787             6563031481.3036842
    554        0.0190957             5165398056.3272724
    555        0.0191138             2758067482.2272172
    556        0.0191329             8061634623.3924618
    557        0.0191527             1068153300.9781708
    558        0.0191732             7455816332.7182760
    559        0.0191942             3964389866.0433602
    560        0.0192157             19933547440.3936234
    561        0.0192375             547362140.8196596
    562        0.0192596             1248835949.0739806
    563        0.0192818             20581879297.3256454
    564        0.0193041             3050348236.4998503
    565        0.0193265             8667452912.0666485
    566        0.0193487             2811209437.5495138
    567        0.0193709             15342082500.5471592
    568        0.0193930             3350600284.0708284
    569        0.0194149             132854887.3057426
    570        0.0194365             7288419171.4530401
    571        0.0194580             6711828956.2061167
    572        0.0194792             7083822643.4621954
    573        0.0195002             9414097386.3449211
    574        0.0195209             8513341241.6319866
    575        0.0195413             720073495.6171250
    576        0.0195614             12520244672.9331837
    577        0.0195813             3621624254.2145438
    578        0.0196010             565961823.1824635
    579        0.0196204             3751822046.7541718
    580        0.0196395             3015805965.5403571
    581        0.0196585             1224922069.1789470
    582        0.0196772             5555991429.9461565
    583        0.0196957             37199369.7256079
    584        0.0197140             5816387011.0254116
    585        0.0197322             4517066201.3952494
    586        0.0197502             6820769966.6168261
    587        0.0197682             3289487035.4501872
    588        0.0197860             961869392.3335766
    589        0.0198037             130197791.5396277
    590        0.0198214             991097467.7608401
    591        0.0198390             11335179069.2459602
    592        0.0198566             1052210714.3814814
    593        0.0198742             5954556094.8633842
    594        0.0198918             3741193655.6897120
    595        0.0199094             6685257978.5449686
    596        0.0199271             7123679111.9539194
    597        0.0199449             5431107832.9387579
    598        0.0199627             4958144430.5703144
    599        0.0199806             4865146010.7562952
    600        0.0199986             2263847297.7298541
    601        0.0200167             4681806264.8943691
    602        0.0200349             7142278794.3167229
    603        0.0200533             2991892083.6453233
    604        0.0200717             7774668064.6520576
    605        0.0200903             1009697152.1236439
    606        0.0201089             6990824223.6481762
    607        0.0201276             13203118800.8247013
    608        0.0201465             15177342439.0480385
    609        0.0201654             5922670921.6700058
    610        0.0201843             3108804385.3543773
    611        0.0202033             8561169001.4220543
    612        0.0202223             1070810400.7442855
    613        0.0202413             7867666484.4660778
    614        0.0202603             10864872766.6436310
    615        0.0202793             2216019537.9397869
    616        0.0202982             164740062.4991208
    617        0.0203170             1666000300.3540125
    618        0.0203357             3276201544.6196127
    619        0.0203542             9307813475.7003288
    620        0.0203726             2449844141.3578939
    621        0.0203908             8909248810.7830982
    622        0.0204088             5417822346.1081839
    623        0.0204265             20642992545.9462891
    624        0.0204440             3988303745.9383931
    625        0.0204611             10567277814.8387680
    626        0.0204780             1878568119.6432009
    627        0.0204944             3127404069.7171812
    628        0.0205105             7314990149.1141882
    629        0.0205262             10150113467.5587349
    630        0.0205414             1206322384.8161430
    631        0.0205562             4256670620.3159933
    632        0.0205705             4421410683.8151140
    633        0.0205842             8840164268.8641129
    634        0.0205974             5287624553.5685568
    635        0.0206100             3815592393.1409283
    636        0.0206221             5409851050.8098392
    637        0.0206334             1990166225.8200243
    638        0.0206442             1668657396.1201274
    639        0.0206542             786500937.7699963
    640        0.0206636             6924396779.4953060
    641        0.0206722             11345807462.3104191
    642        0.0206802             8497398655.0352983
    643        0.0206873             6509889525.9813881
    644        0.0206937             5322166824.5280495
    645        0.0206993             5040514461.3198748
    646        0.0207041             2983920792.3469791
    647        0.0207081             9687778456.2547512
    648        0.0207112             5995741108.2381639
    649        0.0207135             6921739681.7291908
    650        0.0207149             6501918232.6830444
    651        0.0207155             9455282399.7197018
    652        0.0207151             2015408654.5981154
    653        0.0207139             14438669262.0681095
    654        0.0207118             362693846.0746773
    655        0.0207087             3879362739.5276842
    656        0.0207048             7066551509.9824505
    657        0.0206999             5020586228.0740137
    658        0.0206940             12673027794.4847889
    659        0.0206872             9278585400.2730637
    660        0.0206795             2811209435.5495138
    661        0.0206707             658960246.9964833
    662        0.0206611             9968102268.5798702
    663        0.0206504             15884130446.8345871
    664        0.0206388             342765610.8288159
    665        0.0206261             4331069359.7672091
    666        0.0206124             1628800931.6284044
    667        0.0205978             1202336740.1669707
    668        0.0205821             4238070935.9531894
    669        0.0205654             4244713680.3684769
    670        0.0205477             11203652729.8232765
    671        0.0205289             939284059.3216003
    672        0.0205090             1569016231.8908205
    673        0.0204881             9998658894.8901882
    674        0.0204660             1822769068.5547888
    675        0.0204429             4094587656.5829873
    676        0.0204187             1816126324.1395016
    677        0.0203933             11283365662.8067188
    678        0.0203668             3951104377.2127852
    679        0.0203391             8417685724.0518513
    680        0.0203102             4056059738.9743223
    681        0.0202802             2274475688.7943139
    682        0.0202488             5492221081.5594006
    683        0.0202163             8595711274.3815479
    684        0.0201824             6074125494.3385525
    685        0.0201473             3690708798.1335297
    686        0.0201109             3765107533.5847459
    687        0.0200731             8728566160.6872902
    688        0.0200339             4724319829.1522074
    689        0.0199934             5314194.5322297
    690        0.0199515             9954816779.7492924
    691        0.0199081             8692695340.8447399
    692        0.0198633             1232893364.4772913
    693        0.0198171             8457542190.5435753
    694        0.0197693             9614708267.6865940
    695        0.0197201             2447187043.5917792
    696        0.0196694             2216019537.9397869
    697        0.0196172             3451569997.1831932
    698        0.0195636             6268093631.2649364
    699        0.0195085             15921329815.5601940
    700        0.0194519             9760848644.8229103
    701        0.0193939             108941009.4107090
    702        0.0193346             6650715709.5854759
    703        0.0192739             2900222210.7143612
    704        0.0192119             10233812047.1913548
    705        0.0191487             6665329745.2991066
    706        0.0190844             1751027426.8696878
    707        0.0190190             9754205900.4076233
    708        0.0189527             3440941606.1187334
    709        0.0188855             7923465539.5544891
    710        0.0188176             9499124512.8605976
    711        0.0187491             15377953322.3897095
    712        0.0186801             2258533102.1976247
    713        0.0186108             110933832.7352951
    714        0.0185414             4772811863.3838034
    715        0.0184721             4408789467.4260683
    716        0.0184029             7763375397.1460695
    717        0.0183340             7399353003.1883354
    718        0.0182657             3477476702.4028130
    719        0.0181982             8165925710.7124701
    720        0.0181316             1590937286.4612677
    721        0.0180661             5470300026.9889526
    722        0.0180018             4686456185.9850702
    723        0.0179390             3189181592.7793517
    724        0.0178778             6090732353.3767700
    725        0.0178183             5091663593.3175859
    726        0.0177608             2023379947.8964603
    727        0.0177052             7346211047.8660383
    728        0.0176517             5425793639.4065275
    729        0.0176004             96319795.0216634
    730        0.0175514             1276735477.6181867
    731        0.0175048             4148393888.3468132
    732        0.0174606             150790299.2270179
    733        0.0174187             3400420867.1854825
    734        0.0173793             23913878.8950337
    735        0.0173423             7102422329.8250017
    736        0.0173077             3261587508.9059815
    737        0.0172755             2536199818.7566266
    738        0.0172457             10227833577.2175961
    739        0.0172181             2028694143.4286897
    740        0.0171928             1363755427.4584479
    741        0.0171696             6337842447.6254511
    742        0.0171486             4243385133.4854193
    743        0.0171297             7384074693.0331755
    744        0.0171126             3372521338.6412764
    745        0.0170975             4466581345.8390665
    746        0.0170842             13863407593.7042427
    747        0.0170726             4517730475.8367777
    748        0.0170627             12483709578.6491051
    749        0.0170544             12972615569.6142387
    750        0.0170476             2317653527.4936795
    751        0.0170423             5718074393.6791630
    752        0.0170383             670252912.5024716
    753        0.0170356             20592506.6873901
    754        0.0170342             170054256.0313506
    755        0.0170340             4663206580.5315657
    756        0.0170348             3968375514.6925316
    757        0.0170367             2505643192.4463058
    758        0.0170397             187989667.9526258
    759        0.0170436             3994946492.3536806
    760        0.0170484             2274475686.7943139
    761        0.0170540             5884143002.0613413
    762        0.0170605             4499795065.9155035
    763        0.0170677             2560113698.6516600
    764        0.0170756             4461267150.3068371
    765        0.0170842             503520027.6787645
    766        0.0170934             6742385582.5164375
    767        0.0171033             4243385133.4854193
    768        0.0171136             4166329298.2680879
    769        0.0171245             3103490191.8221474
    770        0.0171358             2542842561.1719136
    771        0.0171475             3316058011.1113358
    772        0.0171596             5170712253.8595028
    773        0.0171721             3794335609.0120096
    774        0.0171849             3917890657.1363502
    775        0.0171979             4521051848.0444212
    776        0.0172112             960540841.4505191
    777        0.0172247             4114515891.8288488
    778        0.0172384             9831261735.6249542
    779        0.0172522             3409056434.9253554
    780        0.0172662             8834850073.3318844
    781        0.0172802             39856465.4917228
    782        0.0172943             6116639058.5963898
    783        0.0173084             700145260.3712636
    784        0.0173225             2978606596.8147497
    785        0.0173366             8501384301.6844702
    786        0.0173507             8430971210.8824263
    787        0.0173647             4142415416.3730550
